105/01/22,"7,729.01","7,774.12","7,706.14","7,756.18"
105/01/25,"7,813.73","7,899.66","7,813.73","7,894.15"
105/01/26,"7,832.10","7,848.63","7,799.58","7,828.67"
105/01/27,"7,863.66","7,888.63","7,830.33","7,849.83"
105/01/28,"7,825.22","7,921.06","7,821.12","7,905.10"
105/01/29,"7,880.78","8,080.60","7,876.82","8,080.60"
105/01/30,"8,107.23","8,149.50","8,106.63","8,145.21"
105/02/01,"8,164.24","8,166.80","8,110.87","8,156.96"
105/02/02,"8,141.52","8,156.25","8,091.14","8,131.24"
105/02/03,"8,117.22","8,117.22","8,036.60","8,063.00"
105/02/15,"7,976.65","8,074.80","7,953.99","8,066.51"
105/02/16,"8,090.91","8,227.19","8,090.91","8,212.07"
105/02/17,"8,240.73","8,253.80","8,196.13","8,214.25"
105/02/18,"8,261.74","8,337.97","8,261.74","8,314.67"
105/02/19,"8,291.83","8,325.04","8,280.39","8,325.04"
105/02/22,"8,315.79","8,396.62","8,296.18","8,326.68"
105/02/23,"8,333.59","8,361.79","8,311.94","8,334.64"
105/02/24,"8,332.66","8,382.25","8,264.39","8,282.86"
105/02/25,"8,304.18","8,388.63","8,304.18","8,365.86"
105/02/26,"8,380.53","8,432.74","8,347.80","8,411.16"
105/03/01,"8,381.38","8,489.01","8,378.06","8,485.69"
105/03/02,"8,544.66","8,586.25","8,540.17","8,544.05"
105/03/03,"8,569.05","8,630.77","8,561.74","8,611.79"
105/03/04,"8,611.37","8,648.94","8,584.06","8,643.55"
105/03/07,"8,656.74","8,727.88","8,632.21","8,659.55"
105/03/08,"8,655.86","8,668.51","8,575.70","8,664.31"
105/03/09,"8,649.10","8,657.17","8,588.41","8,634.11"
105/03/10,"8,633.66","8,680.43","8,614.97","8,660.70"
105/03/11,"8,663.29","8,707.97","8,640.96","8,706.14"
105/03/14,"8,746.48","8,777.05","8,739.57","8,747.90"
105/03/15,"8,745.57","8,759.94","8,589.41","8,611.18"
105/03/16,"8,637.63","8,699.14","8,637.63","8,699.14"
105/03/17,"8,763.51","8,826.84","8,716.88","8,734.54"
105/03/18,"8,747.05","8,810.71","8,747.05","8,810.71"
105/03/21,"8,826.16","8,840.75","8,747.59","8,812.70"
105/03/22,"8,806.02","8,814.37","8,713.24","8,785.68"
105/03/23,"8,777.88","8,814.50","8,734.55","8,766.09"
105/03/24,"8,745.42","8,765.96","8,676.87","8,743.38"
105/03/25,"8,758.14","8,765.62","8,699.89","8,704.97"
105/03/28,"8,713.72","8,737.86","8,676.03","8,690.45"
105/03/29,"8,687.06","8,711.11","8,585.71","8,617.35"
105/03/30,"8,624.93","8,744.47","8,624.93","8,737.04"
105/03/31,"8,757.22","8,803.91","8,695.08","8,744.83"
105/04/01,"8,700.38","8,704.53","8,628.94","8,657.55"
105/04/06,"8,605.16","8,605.16","8,496.89","8,513.30"
105/04/07,"8,523.25","8,529.44","8,436.54","8,490.25"
105/04/08,"8,464.78","8,546.31","8,452.05","8,541.50"
105/04/11,"8,518.96","8,568.44","8,476.57","8,562.59"
105/04/12,"8,561.21","8,613.56","8,520.14","8,531.18"
105/04/13,"8,562.79","8,653.08","8,561.90","8,652.08"
105/04/14,"8,684.93","8,719.15","8,653.84","8,667.71"
105/04/15,"8,634.23","8,700.39","8,613.25","8,700.39"
105/04/18,"8,681.80","8,686.98","8,650.13","8,666.01"
105/04/19,"8,701.75","8,743.35","8,627.29","8,633.72"
105/04/20,"8,649.09","8,695.22","8,502.55","8,514.48"
105/04/21,"8,549.14","8,568.65","8,508.92","8,568.65"
105/04/22,"8,560.21","8,580.33","8,501.03","8,535.75"
105/04/25,"8,541.14","8,560.28","8,513.73","8,560.28"
105/04/26,"8,556.37","8,622.42","8,554.55","8,581.57"
105/04/27,"8,561.37","8,597.64","8,537.03","8,563.05"
105/04/28,"8,586.92","8,595.99","8,456.38","8,473.87"
105/04/29,"8,424.04","8,424.04","8,352.23","8,377.90"
105/05/03,"8,362.35","8,363.59","8,268.41","8,294.12"
105/05/04,"8,282.52","8,285.96","8,153.57","8,185.47"
105/05/05,"8,182.05","8,207.98","8,122.34","8,167.96"
105/05/06,"8,169.54","8,170.68","8,104.16","8,146.43"
105/05/09,"8,156.65","8,177.36","8,106.13","8,131.83"
105/05/10,"8,119.71","8,168.13","8,075.58","8,156.29"
105/05/11,"8,182.92","8,204.51","8,115.44","8,135.56"
105/05/12,"8,122.78","8,162.44","8,105.49","8,108.05"
105/05/13,"8,095.93","8,095.93","7,999.98","8,053.69"
105/05/16,"8,035.21","8,091.48","8,003.93","8,067.60"
105/05/17,"8,081.89","8,151.20","8,047.31","8,140.48"
105/05/18,"8,115.61","8,159.68","8,061.26","8,159.68"
105/05/19,"8,159.93","8,166.96","8,067.33","8,095.98"
105/05/20,"8,108.68","8,165.98","8,080.65","8,131.26"
105/05/23,"8,150.38","8,356.96","8,119.71","8,344.44"
105/05/24,"8,329.69","8,354.62","8,298.00","8,300.66"
105/05/25,"8,352.84","8,417.27","8,352.84","8,396.20"
105/05/26,"8,400.89","8,410.74","8,376.60","8,394.12"
105/05/27,"8,415.59","8,463.61","8,415.59","8,463.61"
105/05/30,"8,476.62","8,563.40","8,462.15","8,535.87"
105/05/31,"8,532.21","8,545.73","8,488.90","8,535.59"
105/06/01,"8,516.08","8,603.63","8,514.12","8,597.16"
105/06/02,"8,598.47","8,635.03","8,553.54","8,556.02"
105/06/03,"8,565.18","8,601.05","8,559.77","8,587.36"
105/06/04,"8,582.60","8,594.35","8,570.69","8,591.57"
105/06/06,"8,605.15","8,664.12","8,557.68","8,597.11"
105/06/07,"8,622.21","8,692.73","8,621.46","8,679.90"
105/06/08,"8,704.66","8,754.82","8,690.59","8,715.48"
105/06/13,"8,634.24","8,634.24","8,520.21","8,536.22"
105/06/14,"8,513.51","8,577.31","8,503.42","8,576.12"
105/06/15,"8,566.43","8,608.29","8,524.55","8,606.37"
105/06/16,"8,583.19","8,584.67","8,476.84","8,494.14"
105/06/17,"8,538.28","8,607.16","8,538.28","8,568.08"
105/06/20,"8,612.26","8,642.15","8,604.81","8,625.92"
105/06/21,"8,633.21","8,684.85","8,627.40","8,684.85"
105/06/22,"8,675.12","8,716.25","8,653.04","8,716.25"
105/06/23,"8,706.08","8,711.21","8,662.78","8,676.68"
105/06/24,"8,684.53","8,691.30","8,374.26","8,476.99"
105/06/27,"8,406.29","8,468.66","8,386.27","8,458.87"
105/06/28,"8,438.76","8,505.51","8,396.01","8,505.51"
105/06/29,"8,530.37","8,609.23","8,530.37","8,586.56"
105/06/30,"8,615.46","8,666.58","8,583.77","8,666.58"
105/07/01,"8,692.48","8,755.62","8,680.53","8,738.24"
105/07/04,"8,728.32","8,782.38","8,712.12","8,760.58"
105/07/05,"8,738.41","8,747.06","8,693.76","8,716.07"
105/07/06,"8,673.53","8,673.53","8,569.15","8,575.75"
105/07/07,"8,605.38","8,653.70","8,605.38","8,640.91"
105/07/11,"8,728.23","8,795.80","8,728.23","8,786.47"
105/07/12,"8,794.73","8,841.46","8,794.30","8,841.46"
105/07/13,"8,847.04","8,865.42","8,800.17","8,857.75"
105/07/14,"8,837.76","8,877.31","8,818.26","8,866.36"
105/07/15,"8,857.15","8,949.85","8,857.15","8,949.85"
